Longitude,Latitude,1976-1977,1978-1979,1980-1981,1982-1983,1984-1985,1986-1987,1988-1989,1990-1991,1992-1993,1994-1995,1996-1997,1998-1999,2000-2001,2002-2003,2004-2005,2006-2007,2008-2009,2010-2011,2012-2013,2014-2015,2016-2017
-177,39,-0.3747,-0.155,-0.3958,-0.2264,-0.3503,-0.6893,0.2191,0.6895,-0.6165,-0.1144,-0.514,0.3725,0.5017,0.3326,0.3896,0.4945,0.3634,1.0048,0.7585,0.093,0.2401
-177,-35,-0.1583,0.1997,0.1942,-0.3819,0.3188,0.0778,0.4894,0.0135,-0.8455,-0.1298,0.1356,0.7826,0.4883,0.457,0.3223,0.3302,0.0537,0.4326,0.3088,0.3197,0.8082
-177,-19,0.0633,-0.1779,0.0783,-0.2109,0.0656,-0.4597,0.2809,0.1286,-0.191,-0.0471,0.1431,0.1389,0.4853,0.3073,0.4878,0.5641,0.2921,0.6634,0.59,0.1543,0.5476
-177,-15,0.0958,-0.0521,0.1432,-0.0622,0.0541,-0.2797,0.0378,0.1764,0.0837,0.2497,0.1617,-0.0234,0.4805,0.5594,0.6455,0.5672,0.3167,0.5888,0.4893,0.2931,0.627
-177,-33,-0.0972,0.1333,0.1364,-0.3617,0.1848,-0.0463,0.4822,0.0463,-0.6885,-0.1958,0.1433,0.773,0.4758,0.4562,0.341,0.294,0.1542,0.5504,0.2872,0.3866,0.8075
-177,59,-0.3522,0.8779,0.5879,0.5607,0.2782,0.4449,0.2954,0.4339,0.2852,0.2893,1.1819,-0.2894,0.4549,1.2928,1.2073,0.8165,0.2473,0.6231,0.2247,1.8162,2.0697
-177,-79,-1.1516,-0.9557,0.6283,-0.3535,0.3036,0.2327,1.106,0.5887,0.1823,-0.2161,0.7397,0.2748,0.4366,0.6805,-0.071,1.0917,0.8276,1.3523,1.233,0.7121,0.6513
-177,81,-0.1079,0.5781,0.594,0.238,-0.0521,0.1327,0.8369,0.7111,0.5428,0.861,0.9828,1.1585,0.4332,1.4327,1.3725,1.6962,1.1506,1.9614,1.2742,2.2669,2.6009
-177,-21,0.0551,-0.1677,0.0238,-0.2533,0.0974,-0.4783,0.3656,0.1002,-0.2658,-0.1197,0.1738,0.2801,0.4194,0.3013,0.4097,0.509,0.3765,0.6686,0.5934,0.1369,0.5311
-177,51,-0.1174,0.384,0.3894,0.2714,0.4474,0.3467,0.3191,0.4948,0.1893,0.3853,1.052,-0.0451,0.4176,0.7724,0.9376,0.2523,-0.0482,0.1066,-0.0389,1.3255,1.1564
-177,-31,-0.0328,0.0561,0.1421,-0.3168,0.0861,-0.1751,0.4264,0.0641,-0.5237,-0.2334,0.1259,0.7769,0.4175,0.4506,0.442,0.2686,0.2799,0.6022,0.2643,0.4321,0.7697
-177,-81,-1.106,-0.903,0.6408,-0.3955,0.2876,0.1506,1.075,0.5703,0.1736,-0.2286,0.7024,0.2134,0.4091,0.6791,-0.0599,1.0364,0.7986,1.3141,1.1993,0.6922,0.6401
-177,-77,-1.1841,-0.9852,0.5913,-0.2853,0.3087,0.308,1.0844,0.5957,0.1369,-0.2322,0.7412,0.3017,0.4003,0.6353,-0.073,1.0954,0.8716,1.3688,1.2499,0.73,0.6533
-177,-75,-1.1295,-0.8711,0.6351,-0.2335,0.3028,0.3914,1.0531,0.6149,0.1416,-0.2169,0.7428,0.3299,0.3859,0.6011,-0.051,1.1007,0.9237,1.3759,1.2414,0.7378,0.6875
-177,-69,-0.8729,-0.3387,0.8441,0.0048,0.2608,0.6677,0.8274,0.6926,0.1681,-0.1321,0.7242,0.4224,0.3796,0.428,0.226,1.1928,1.1549,1.46,1.2053,0.8154,0.9205
-177,-61,0.5588,0.7864,0.8032,0.9778,0.5933,0.7873,0.5922,0.5786,0.8189,0.6309,0.4464,0.1534,0.375,0.6148,0.5987,0.1327,0.3499,0.4364,0.4501,0.3653,0.5003
-177,-29,-0.0434,-0.0443,0.1057,-0.2465,0.0066,-0.2512,0.362,0.0374,-0.4136,-0.2492,0.1829,0.7525,0.3675,0.4263,0.4974,0.2637,0.3583,0.6247,0.2622,0.4076,0.7396
-177,-73,-1.0793,-0.7675,0.6752,-0.1882,0.2954,0.4867,1.0222,0.6309,0.1462,-0.2011,0.738,0.3524,0.3642,0.5679,-0.0328,1.1052,0.9748,1.3816,1.2325,0.7358,0.7211
-177,-27,-0.0437,-0.1192,-0.0231,-0.2008,-0.0603,-0.3672,0.3722,-0.0139,-0.369,-0.2635,0.2249,0.6584,0.3593,0.3471,0.4415,0.2713,0.3685,0.6848,0.34,0.2628,0.6998
-177,-11,0.1226,0.1191,0.3424,0.1944,0.1114,0.1468,0.0425,0.4136,0.3113,0.5573,0.269,0.132,0.3529,0.725,0.6123,0.5947,0.276,0.3023,0.4419,0.5722,0.8313
